Name,Latitude,Longitude
Hydrant U1,31.0198047,-87.4858814
Hydrant U2,31.0133109,-87.4884341
Hydrant U3,31.0170156,-87.515929
Hydrant U4,31.0274654,-87.5198494
Hydrant U5,31.0254816,-87.5230213
Hydrant U6,31.023546,-87.5230105
Hydrant U7,31.0235954,-87.5214971
Hydrant U8,31.023256,-87.5353763
Hydrant U9,31.0245755,-87.5354939
Hydrant U10,31.0250295,-87.5341566
Hydrant U11,31.023781,-87.5321376
Hydrant U12,31.0229579,-87.5217483
Hydrant U13,31.0231914,-87.5139422
Hydrant U14,31.0250796,-87.524491
Hydrant U15,31.0274387,-87.5231832
Hydrant U16,31.0268106,-87.5146079
Hydrant U17,31.0298938,-87.5148473
Hydrant U18,31.0305062,-87.5137808
Hydrant U19,31.0310854,-87.5124701
Hydrant U20,31.0313894,-87.5101021
Hydrant U21,31.0313786,-87.5091914
Hydrant U22,31.0316075,-87.5084473
Hydrant U23,31.0319778,-87.5057443
Hydrant U24,31.0316303,-87.50524
Hydrant U25,31.0339859,-87.5053663
Hydrant U26,31.0349498,-87.505339
Hydrant U27,31.0341858,-87.5041183
Hydrant U28,31.0341914,-87.5028771
Hydrant U29,31.0342752,-87.5005271
Hydrant U30,31.0336611,-87.5000321
Hydrant U31,31.0330544,-87.4995321
Hydrant 7,31.03123,-87.4980728
Hydrant 7,31.0328475,-87.5039839
Hydrant U32,31.0316527,-87.5039319
Hydrant U33,31.0316273,-87.5029235
Hydrant U34,31.0328579,-87.5029402
Hydrant U35,31.0303694,-87.4985189
Hydrant U36,31.0202546,-87.5412646
Hydrant U37,31.0194594,-87.517766
Hydrant U38,31.0195776,-87.5198764
Hydrant U39,31.019639,-87.5242813
Hydrant U40,31.0195383,-87.5263033
Hydrant U41,31.0195382,-87.5304376
Hydrant U42,31.0139494,-87.5304072
Hydrant U43,31.0139332,-87.5253038
Hydrant U44,31.0155743,-87.5261779
Hydrant U45,31.0304049,-87.5049423
Hydrant U46,31.0256165,-87.4977305
Hydrant U47,31.0276835,-87.4977569
Hydrant U48,31.0293403,-87.4977838
Hydrant U49,31.0299352,-87.4957671
Hydrant U50,31.0324791,-87.4949136
Hydrant U51,31.0158067,-87.5134911
Hydrant U52,31.0097556,-87.5134775
Hydrant U53,31.0072412,-87.5134408
Hydrant U54,31.0048536,-87.5134005
Hydrant U55,31.0016925,-87.5219928
Hydrant U56,31.0000942,-87.5206456
Hydrant U57,31.0013864,-87.5265209
Hydrant U58,31.0005372,-87.5325711
Hydrant U59,31.002885,-87.5133715
Hydrant U60,31.0012043,-87.513349
Hydrant U61,30.9997186,-87.5133234
Hydrant U62,31.0121825,-87.5131828
Hydrant U63,31.0160346,-87.5115915
Hydrant U64,31.014318,-87.5113925
Hydrant U65,31.016262,-87.5094845
Hydrant U66,31.0121906,-87.5107424
Hydrant 5,31.0121855,-87.5087346
Hydrant 4,31.0122928,-87.5052902
Hydrant U67,31.0148854,-87.5052773
Hydrant 4,31.0173422,-87.5051235
Hydrant U68,31.0195606,-87.5051307
Hydrant U69,31.0214244,-87.5041953
Hydrant U70,31.0254965,-87.495972
Hydrant U71,31.0267441,-87.4959939
